[1218/144901:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1221/235612:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1222/002700:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1222/003212:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1222/003625:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1223/011438:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1223/133619:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1223/140743:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1223/153005:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1223/160740:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1223/172046:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1223/174231:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1223/194748:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1223/200450:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1223/202011:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1223/203806:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1224/105007:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1224/111757:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1224/122702:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1224/123101:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1224/135041:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1224/140015:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1224/140106:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1224/140337:ERROR:file_io.cc(30)] read: expected 4, observed 0
